1759875829.784624, time_ms,adc,voltage_V
1759875851.5551455, 22161
1759875851.5553377, ,
1759875851.5556188, 645
1759875851.755809, 22362
1759875851.7560358, ,
1759875851.756321, 645
1759875851.956566, 22562
1759875851.9567528, ,
1759875851.9570363, 646
1759875852.1572037, 22763
1759875852.1573899, ,
1759875852.1576743, 647
1759875852.3579314, 22963
1759875852.3581228, ,
1759875852.3584063, 646
1759875852.558687, 23163
1759875852.5588791, ,
1759875852.5591626, 647
1759875852.7593706, 23364
1759875852.759566, ,
1759875852.7598503, 646
1759875852.9600394, 23565
1759875852.9602292, ,
1759875852.960513, 647
1759875853.160746, 23766
1759875853.1609344, ,
1759875853.1612191, 646
